Epoch 1, loss 31.37, train accuracy: 51.11%, validation accuracy: 53.12%, best valid accuracy: 53.18%
Epoch 2, loss 31.05, train accuracy: 51.78%, validation accuracy: 57.23%, best valid accuracy: 57.35%
Epoch 3, loss 30.94, train accuracy: 55.56%, validation accuracy: 58.12%, best valid accuracy: 58.25%
Epoch 4, loss 30.79, train accuracy: 54.00%, validation accuracy: 56.43%, best valid accuracy: 58.47%
Epoch 5, loss 30.60, train accuracy: 57.56%, validation accuracy: 56.56%, best valid accuracy: 58.59%
Epoch 6, loss 30.38, train accuracy: 57.56%, validation accuracy: 64.21%, best valid accuracy: 64.31%
Epoch 7, loss 30.02, train accuracy: 60.89%, validation accuracy: 60.42%, best valid accuracy: 64.44%
Epoch 8, loss 29.92, train accuracy: 60.22%, validation accuracy: 62.55%, best valid accuracy: 64.62%
Epoch 9, loss 29.42, train accuracy: 65.11%, validation accuracy: 62.78%, best valid accuracy: 64.73%
Epoch 10, loss 29.27, train accuracy: 64.00%, validation accuracy: 64.62%, best valid accuracy: 64.85%
Epoch 11, loss 28.63, train accuracy: 68.22%, validation accuracy: 68.91%, best valid accuracy: 68.92%
Epoch 12, loss 28.30, train accuracy: 68.44%, validation accuracy: 64.21%, best valid accuracy: 68.45%
Epoch 13, loss 27.71, train accuracy: 68.89%, validation accuracy: 71.14%, best valid accuracy: 71.29%
Epoch 14, loss 27.20, train accuracy: 70.44%, validation accuracy: 69.56%, best valid accuracy: 71.34%
Epoch 15, loss 26.60, train accuracy: 71.33%, validation accuracy: 69.87%, best valid accuracy: 71.56%
Epoch 16, loss 26.27, train accuracy: 72.00%, validation accuracy: 63.12%, best valid accuracy: 71.67%
Epoch 17, loss 25.93, train accuracy: 71.11%, validation accuracy: 67.34%, best valid accuracy: 71.71%
Epoch 18, loss 25.33, train accuracy: 71.33%, validation accuracy: 59.78%, best valid accuracy: 71.92%
Epoch 19, loss 24.33, train accuracy: 75.33%, validation accuracy: 70.11%, best valid accuracy: 72.04%
Epoch 20, loss 23.83, train accuracy: 74.44%, validation accuracy: 73.56%, best valid accuracy: 73.77%
Epoch 21, loss 23.35, train accuracy: 74.22%, validation accuracy: 72.32%, best valid accuracy: 73.81%
Epoch 22, loss 22.41, train accuracy: 78.00%, validation accuracy: 74.63%, best valid accuracy: 74.94%
Epoch 23, loss 22.17, train accuracy: 78.67%, validation accuracy: 68.22%, best valid accuracy: 74.99%
Epoch 24, loss 21.78, train accuracy: 76.22%, validation accuracy: 74.88%, best valid accuracy: 75.05%
Epoch 25, loss 21.17, train accuracy: 78.00%, validation accuracy: 74.77%, best valid accuracy: 75.11%
Epoch 26, loss 20.48, train accuracy: 76.89%, validation accuracy: 75.32%, best valid accuracy: 75.21%
Epoch 27, loss 19.97, train accuracy: 78.22%, validation accuracy: 70.11%, best valid accuracy: 75.43%
Epoch 28, loss 19.47, train accuracy: 80.44%, validation accuracy: 73.98%, best valid accuracy: 75.56%
Epoch 29, loss 19.21, train accuracy: 81.00%, validation accuracy: 74.66%, best valid accuracy: 75.77%
Epoch 30, loss 18.88, train accuracy: 82.11%, validation accuracy: 76.34%, best valid accuracy: 76.45%
Epoch 31, loss 18.33, train accuracy: 84.00%, validation accuracy: 75.12%, best valid accuracy: 76.61%
Epoch 32, loss 17.74, train accuracy: 85.33%, validation accuracy: 78.67%, best valid accuracy: 78.71%
Epoch 33, loss 17.10, train accuracy: 86.67%, validation accuracy: 79.11%, best valid accuracy: 79.12%
Epoch 34, loss 16.74, train accuracy: 87.22%, validation accuracy: 81.02%, best valid accuracy: 81.13%
Epoch 35, loss 16.21, train accuracy: 88.11%, validation accuracy: 83.23%, best valid accuracy: 83.34%
Epoch 36, loss 15.66, train accuracy: 89.00%, validation accuracy: 84.01%, best valid accuracy: 84.05%
Epoch 37, loss 15.13, train accuracy: 90.00%, validation accuracy: 85.27%, best valid accuracy: 85.32%
Epoch 38, loss 14.70, train accuracy: 91.00%, validation accuracy: 86.56%, best valid accuracy: 86.57%
Epoch 39, loss 14.27, train accuracy: 92.00%, validation accuracy: 87.88%, best valid accuracy: 87.91%
